location_key,zip,city,state,latitude,longitude
0,60654,CHICAGO,IL,41.89095520641464,-87.63420043676278
1,60610,CHICAGO,IL,41.90707225183964,-87.63444045109864
2,60625,CHICAGO,IL,41.96517022664056,-87.68894968647344
3,60606,CHICAGO,IL,41.87948775353436,-87.63444222788623
4,60659,CHICAGO,IL,41.9979063915366,-87.68609382887814
5,60653,CHICAGO,IL,41.80962869787754,-87.60736973785798
6,60657,CHICAGO,IL,41.9393010960117,-87.65032120244555
7,60613,CHICAGO,IL,41.961372932887095,-87.6768252331503
8,60628,CHICAGO,IL,41.68863224117689,-87.64211604972749
9,60651,CHICAGO,IL,41.89555031857086,-87.71842104357972
10,60639,CHICAGO,IL,41.90953789209778,-87.76143045876287
11,60707,CHICAGO,IL,41.923655741386966,-87.80190452135636
12,60617,CHICAGO,IL,41.7473536264,-87.58602790563285
13,60638,CHICAGO,IL,41.77775110340871,-87.78356603995128
14,60632,CHICAGO,IL,41.80081404526975,-87.72840968293507
15,60619,CHICAGO,IL,41.73664084967992,-87.61260287372487
16,60609,CHICAGO,IL,41.79441676779757,-87.64481608216055
17,60636,CHICAGO,IL,41.76469612104134,-87.67359278470066
18,60608,CHICAGO,IL,41.852872945667016,-87.68333970377196
19,60639,CHICAGO,IL,41.9260439277809,-87.73186421044376
20,60609,CHICAGO,IL,41.83020702073215,-87.68169307295167
21,60643,CHICAGO,IL,41.69231135890114,-87.6552682468684
22,60641,CHICAGO,IL,41.93858918622007,-87.75681004516909
23,60647,CHICAGO,IL,41.91613261213558,-87.67773171836664
24,60622,CHICAGO,IL,41.90279709351138,-87.66733069479224
25,60657,CHICAGO,IL,41.939952825940544,-87.64340488485693
26,60629,CHICAGO,IL,41.77889540275008,-87.70085183414841
27,60605,CHICAGO,IL,41.87679979571103,-87.62443233487531
28,60634,CHICAGO,IL,41.9375195593423,-87.76660696128712
29,60634,CHICAGO,IL,41.94408767305611,-87.82888429771069
30,60636,CHICAGO,IL,41.76510261000395,-87.6736873676057
31,60645,CHICAGO,IL,42.01210812044981,-87.6831456270142
32,60654,CHICAGO,IL,41.89251729286969,-87.62794971765776
33,60610,CHICAGO,IL,41.90219892637601,-87.63564922164232
34,60640,CHICAGO,IL,41.96877279428135,-87.6686244081723
35,60657,CHICAGO,IL,41.93825330555352,-87.66846320182256
36,60707,CHICAGO,IL,41.92388497356633,-87.80619241407985
37,60652,CHICAGO,IL,41.73635838870971,-87.70219142499292
38,60601,CHICAGO,IL,41.88565513189689,-87.62399987533252
39,60611,CHICAGO,IL,41.89328670170699,-87.62073603767028
40,60630,CHICAGO,IL,41.969509310771365,-87.76233991171351
41,60623,CHICAGO,IL,41.84618506490609,-87.70523748426983
42,60651,CHICAGO,IL,41.89489092409063,-87.74608042225631
43,60601,CHICAGO,IL,41.886923414167214,-87.62538653091903
44,60621,CHICAGO,IL,41.787127441560855,-87.64548794395442
45,60629,CHICAGO,IL,41.77918852416673,-87.6959766735737
46,60657,CHICAGO,IL,41.94073017467244,-87.65113414672994
47,60612,CHICAGO,IL,41.87885054329842,-87.68865057600335
48,60827,CHICAGO,IL,41.65367427506517,-87.59952683280298
49,60637,CHICAGO,IL,41.79351407619528,-87.58494662001773
50,60654,CHICAGO,IL,41.89223372222434,-87.6406157447626
51,60626,CHICAGO,IL,42.00441034631229,-87.67293928722161
